Netscape Communicator (v4) mail folder,00 1E 84 90 00 00 00 00,Hex,N/A,SNM,Email
SQL Data Base,01 0F 00 00,Hex,N/A,MDF,Database
Novell LANalyzer capture file, 01 10,Hex,N/A,TR1,Network
Silicon Graphics RGB Bitmap,01 DA 01 01 00 03,Hex,N/A,RGB,Picture
Micrografx vector graphic file,01 FF 02 04 03 02,Hex,N/A,DRW,Picture
Digital Speech Standard file,02 64 73 73,Hex,N/A,DSS,Multimedia
MapInfo Native Data Format,03,Hex,N/A,DAT,Miscellaneous
dBASE III file,03,Hex,N/A,DB3,Database
Quicken price history,03 00 00 00,Hex,N/A,QPH,Miscellaneous
Approach index file,03 00 00 00 41 50 50 52,Hex,N/A,ADX,Database
dBASE IV file,04,Hex,N/A,DB4,Database
INFO2 Windows recycle bin_1,04 00 00 00,Hex,N/A,(none),Windows
INFO2 Windows recycle bin_2,05 00 00 00,Hex,N/A,(none),Windows
Generic drawing programs,07,Hex,N/A,DRW,Presentation
SkinCrafter skin,07 53 4B 46,Hex,N/A,SKF,Miscellaneous
DesignTools 2D Design file,07 64 74 32 64 64 74 64,Hex,N/A,DTD,Miscellaneous
dBASE IV or dBFast configuration file,08,Hex,N/A,DB,Database
ZSOFT Paintbrush file_1,0A 02 01 01,Hex,N/A,PCX,Presentation
ZSOFT Paintbrush file_2,0A 03 01 01,Hex,N/A,PCX,Presentation
ZSOFT Paintbrush file_3,0A 05 01 01,Hex,N/A,PCX,Presentation
Monochrome Picture TIFF bitmap,0C ED,Hex,N/A,MP,Picture
DeskMate Document,0D 44 4F 43,Hex,N/A,DOC,Word processing suite
Nero CD compilation,0E 4E 65 72 6F 49 53 4F,Hex,N/A,NRI,Miscellaneous
DeskMate Worksheet,0E 57 4B 53,Hex,N/A,WKS,Word processing suite
Windows prefetch file,11 00 00 00 53 43 43 41,Hex,N/A,PF,Windows
Lotus Notes database template,1A 00 00,Hex,N/A,NTF,Spreadsheet
Lotus Notes database,1A 00 00 04 00 00,Hex,N/A,NSF,Spreadsheet
LH archive (old vers.|type 1),1A 02,Hex,N/A,ARC,Compressed archive
LH archive (old vers.|type 2),1A 03,Hex,N/A,ARC,Compressed archive
LH archive (old vers.|type 3),1A 04,Hex,N/A,ARC,Compressed archive
LH archive (old vers.|type 4),1A 08,Hex,N/A,ARC,Compressed archive
LH archive (old vers.|type 5),1A 09,Hex,N/A,ARC,Compressed archive
Compressed archive file,1A 0B,Hex,N/A,PAK,Compressed archive
WinPharoah capture file,1A 35 01 00,Hex,N/A,ETH,Network
Matroska stream file,1A 45 DF A3 93 42 82 88,Hex,N/A,MKV,Multimedia
Runtime Software disk image,1A 52 54 53 20 43 4F 4D,Hex,N/A,DAT,Miscellaneous
WordStar Version 5.0|6.0 document,1D 7D,Hex,N/A,WS,Word processing suite
GZIP archive file,1F 8B 08,Hex,N/A,GZ,Compressed archive
Compressed tape archive_1,1F 9D 90,Hex,N/A,TAR.Z,Compressed archive
Compressed tape archive_2,1F A0,Hex,N/A,TAR.Z,Compressed archive
AIN Compressed Archive,21 12,Hex,N/A,AIN,Compressed archive
Unix archiver (ar)|MS Program Library Common Object File Format (COFF),21 3C 61 72 63 68 3E 0A,Hex,N/A,LIB,Compressed archive
Cerius2 file,23 20,Hex,N/A,MSI,Miscellaneous
VMware 4 Virtual Disk description,23 20 44 69 73 6B 20 44,Hex,N/A,VMDK,Miscellaneous
MS Developer Studio project file,23 20 4D 69 63 72 6F 73,Hex,N/A,DSP,Programming
Adaptive Multi-Rate ACELP Codec (GSM),23 21 41 4D 52,Hex,N/A,AMR,Multimedia
Radiance High Dynamic Range image file,23 3F 52 41 44 49 41 4E,Hex,N/A,HDR,Picture
SPSS Data file,24 46 4C 32 40 28 23 29,Hex,N/A,SAV,Miscellaneous
Encapsulated PostScript file,25 21 50 53 2D 41 64 6F,Hex,N/A,EPS,Word processing suite
PDF file,25 50 44 46,Hex,N/A,PDF|FDF,Word processing suite
BinHex 4 Compressed Archive,28 54 68 69 73 20 66 69,Hex,N/A,HQX,Compressed archive
Symantec Wise Installer log, 2A 2A 2A 20 20 49 6E 73,Hex,N/A,LOG,Miscellaneous
RealPlayer video file (V11+),2E 52 45 43,Hex,N/A,IVR,Multimedia
RealMedia streaming media,2E 52 4D 46,Hex,N/A,RM|RMVB,Multimedia
RealAudio file,2E 52 4D 46 00 00 00 12,Hex,N/A,RA,Multimedia
RealAudio streaming media,2E 72 61 FD 00,Hex,N/A,RA,Multimedia
NeXT|Sun Microsystems audio file,2E 73 6E 64,Hex,N/A,AU,Multimedia
MS security catalog file,30,Hex,N/A,CAT,Windows
Windows Event Viewer file,30 00 00 00 4C 66 4C 65,Hex,N/A,EVT,Windows
Windows Media Audio|Video File,30 26 B2 75 8E 66 CF 11,Hex,N/A,ASF|WMA|WMV,Multimedia
National Transfer Format Map,30 31 4F 52 44 4E 41 4E,Hex,N/A,NTF,Miscellaneous
cpio archive,30 37 30 37 30,Hex,N/A,(none),Compressed archive
MS Write file_1,31 BE,Hex,N/A,WRI,Word processing suite
MS Write file_2,32 BE,Hex,N/A,WRI,Word processing suite
Tcpdump capture file,34 CD B2 A1,Hex,N/A,(none),Network
7-Zip compressed file,37 7A BC AF 27 1C,Hex,N/A,7Z,Compressed archive
zisofs compressed file,37 E4 53 96 C9 DB D6 07,Hex,N/A,(none),Compressed archive
Photoshop image,38 42 50 53,Hex,N/A,PSD,Picture
Surfplan kite project file,3A 56 45 52 53 49 4F 4E,Hex,N/A,SLE,Miscellaneous
Advanced Stream Redirector,3C,Hex,N/A,ASX,Multimedia
BizTalk XML-Data Reduced Schema,3C,Hex,N/A,XDR,Miscellaneous
AOL HTML mail,3C 21 64 6F 63 74 79 70,Hex,N/A,DCI,Email
Windows Visual Stylesheet,3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D,Hex,N/A,MANIFEST,Programming
User Interface Language,3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3F 3E,Hex,N/A,XML,Miscellaneous
MMC Snap-in Control file,3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3F 3E 0D 0A 3C 4D 4D 43 5F 43 6F 6E 73 6F 6C 65 46 69 6C 65 20 43 6F 6E 73 6F 6C 65 56 65 72 73 69 6F 6E 3D 22,Hex,N/A,MSC,Windows
Adobe FrameMaker,3C 4D 61 6B 65 72 46 69,Hex,N/A,FM|MIF,Presentation
Windows Help file_2,3F 5F 03 00,Hex,N/A,GID|HLP,Windows
Generic AutoCAD drawing,41 43 31 30,Hex,N/A,DWG,Presentation
Steganos virtual secure drive,41 43 76,Hex,N/A,SLE,Miscellaneous
AOL parameter|info files,41 43 53 44,Hex,N/A,(none),Network
Harvard Graphics symbol graphic,41 4D 59 4F,Hex,N/A,SYW,Presentation
AOL config files,41 4F 4C,Hex,N/A,ABI|ABY|BAG|IDX|IND|PFC,Network
AOL and AIM buddy list,41 4F 4C 20 46 65 65 64,Hex,N/A,BAG,Network
AOL address book,41 4F 4C 44 42,Hex,N/A,ABY,Network
AOL user configuration,41 4F 4C 44 42,Hex,N/A,IDX,Network
AOL client preferences|settings file,41 4F 4C 49 44 58,Hex,N/A,IND,Network
AOL address book index,41 4F 4C 49 4E 44 45 58,Hex,N/A,ABI,Network
AOL personal file cabinet,41 4F 4C 56 4D 31 30 30,Hex,N/A,ORG|PFC,Network
AVG6 Integrity database,41 56 47 36 5F 49 6E 74,Hex,N/A,DAT,Database
FreeArc compressed file,41 72 43 01,Hex,N/A,ARC,Compressed archive
vCard,42 45 47 49 4E 3A 56 43,Hex,N/A,VCF,Miscellaneous
Speedtouch router firmware,42 4C 49 32 32 33 51,Hex,N/A,BIN,Network
Bitmap image,42 4D,Hex,N/A,BMP|DIB,Picture
Palmpilot resource file,42 4F 4F 4B 4D 4F 42 49,Hex,N/A,PRC,Mobile
bzip2 compressed archive,42 5A 68,Hex,N/A,BZ2|TAR.BZ2|TBZ2|TB2,Compressed archive
RagTime document,43 23 2B 44 A4 43 4D A5,Hex,N/A,RTD,Word processing suite
WordPerfect dictionary,43 42 46 49 4C 45,Hex,N/A,CBD,Word processing suite
ISO-9660 CD Disc Image,43 44 30 30 31,Hex,N/A,ISO,Miscellaneous
Corel Binary metafile,43 4D 58 31,Hex,N/A,CLB,Miscellaneous
COM+ Catalog,43 4F 4D 2B,Hex,N/A,CLB,Miscellaneous
VMware 3 Virtual Disk,43 4F 57 44,Hex,N/A,VMDK,Miscellaneous
Corel Photopaint file_1,43 50 54 37 46 49 4C 45,Hex,N/A,CPT,Presentation
Corel Photopaint file_2,43 50 54 46 49 4C 45,Hex,N/A,CPT,Presentation
Win9x registry hive,43 52 45 47,Hex,N/A,DAT,Windows
Crush compressed archive,43 52 55 53 48 20 76,Hex,N/A,CRU,Compressed archive
Shockwave Flash file,43 57 53,Hex,N/A,SWF,Multimedia
WhereIsIt Catalog,43 61 74 61 6C 6F 67 20,Hex,N/A,CTF,Miscellaneous
IE History file,43 6C 69 65 6E 74 20 55,Hex,N/A,DAT,Network
Palm Zire photo database,44 42 46 48,Hex,N/A,DB,Mobile
Amiga DiskMasher compressed archive,44 4D 53 21,Hex,N/A,DMS,Compressed archive
Amiga disk file,44 4F 53,Hex,N/A,ADF,Miscellaneous
DVR-Studio stream file,44 56 44,Hex,N/A,DVR,Multimedia
DVD info file,44 56 44,Hex,N/A,IFO,Multimedia
Elite Plus Commander game file,45 4C 49 54 45 20 43 6F,Hex,N/A,CDR,Miscellaneous
VideoVCD|VCDImager file,45 4E 54 52 59 56 43 44,Hex,N/A,VCD,Miscellaneous
EasyRecovery Saved State file,45 52 46 53 53 41 56 45,Hex,N/A,DAT,Miscellaneous
MS Document Imaging file,45 50,Hex,N/A,MDI,Word processing suite
Expert Witness Compression Format,45 56 46 09 0D 0A FF 00,Hex,N/A,E01,Miscellaneous
Windows Vista event log,45 6C 66 46 69 6C 65 00,Hex,N/A,EVTX,Windows
QuickBooks backup,45 86 00 00 06 00,Hex,N/A,QBB,Miscellaneous
MS Fax Cover Sheet,46 41 58 43 4F 56 45 52,Hex,N/A,CPE,Miscellaneous
Flash video file,46 4C 56,Hex,N/A,FLV,Multimedia
Audio Interchange File,46 4F 52 4D 00,Hex,N/A,AIFF,Multimedia
Shockwave Flash player,46 57 53,Hex,N/A,SWF,Multimedia
Generic e-mail_2,46 72 6F 6D,Hex,N/A,EML,Email
GIF file,47 49 46 38,Hex,N/A,GIF,Picture
GIMP pattern file,47 50 41 54,Hex,N/A,PAT,Picture
Show Partner graphics file,47 58 32,Hex,N/A,GX2,Picture
Harvard Graphics presentation file,48 48 47 42 31,Hex,N/A,SH3,Presentation
TIFF file_1,49 20 49,Hex,N/A,TIF|TIFF,Picture
MP3 audio file,49 44 33,Hex,N/A,MP3,Multimedia
Sprint Music Store audio,49 44 33 03 00 00 00,Hex,N/A,KOZ,Multimedia
Canon RAW file,49 49 1A 00 00 00 48 45,Hex,N/A,CRW,Picture
TIFF file_2,49 49 2A 00,Hex,N/A,TIF|TIFF,Picture
Install Shield compressed file,49 53 63 28,Hex,N/A,CAB|HDR,Compressed archive
MS Reader eBook,49 54 4F 4C 49 54 4C 53,Hex,N/A,LIT,Miscellaneous
MS Compiled HTML Help File,49 54 53 46,Hex,N/A,CHI|CHM,Windows
Inno Setup Uninstall Log,49 6E 6E 6F 20 53 65 74,Hex,N/A,DAT,Miscellaneous
JARCS compressed archive,4A 41 52 43 53 00,Hex,N/A,JAR,Compressed archive
AOL ART file_1,4A 47 03 0E,Hex,N/A,JG,Picture
AOL ART file_2,4A 47 04 0E,Hex,N/A,JG,Picture
VMware 4 Virtual Disk,4B 44 4D,Hex,N/A,VMDK,Miscellaneous
KGB archive,4B 47 42 5F 61 72 63 68,Hex,N/A,KGB,Compressed archive
Win9x printer spool file,4B 49 00 00,Hex,N/A,SHD,Windows
KWAJ (compressed) file,4B 57 41 4A 88 F0 27 D1,Hex,N/A,(none),Compressed archive
Windows shortcut file,4C 00 00 00 01 14 02 00,Hex,N/A,LNK,Windows
MS COFF relocatable object code,4C 01,Hex,N/A,OBJ,Windows
Windows help file_3,4C 4E 02 00,Hex,N/A,GID|HLP,Windows
Logical File Evidence Format,4C 56 46 09 0D 0A FF 00,Hex,N/A,E01,Miscellaneous
Merriam-Webster Pocket Dictionary,4D 2D 57 20 50 6F 63 6B,Hex,N/A,PDB,Miscellaneous
Mozilla archive,4D 41 52 31 00,Hex,N/A,MAR,Network
Microsoft|MSN MARC archive,4D 41 52 43,Hex,N/A,MAR,Compressed archive
